NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon.started,polygon.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
4,['3'],TMTstop-A_1_2linestimulus1.png,TMTstop-A_1_2greenlinestimulus1.png,TMTstop-A_1_2redlinestimulus1.png,10,,,,,,,,,0,3,3,3,,,,,,,,,33.51595749997068,None,['3'],1,[1.0024944000178948],33.51595749997068,None,,,,,,001,2021_Nov_04_1636,TMTAB,2021.2.3,143.30938630824878,
5,['1'],TMTstop-A_1_2linestimulus2.png,TMTstop-A_1_2greenlinestimulus2.png,TMTstop-A_1_2redlinestimulus2.png,10,,,,,,,,,0,4,4,4,,,,,,,,,34.59901880007237,None,['1'],1,[1.2322834000224248],34.59901880007237,None,,,,,,001,2021_Nov_04_1636,TMTAB,2021.2.3,143.30938630824878,
6,['2'],TMTstop-A_1_2linestimulus3.png,TMTstop-A_1_2greenlinestimulus3.png,TMTstop-A_1_2redlinestimulus3.png,10,,,,,,,,,0,5,5,5,,,,,,,,,35.90403109998442,None,['2'],1,[0.5605769000248984],35.90403109998442,None,,,,,,001,2021_Nov_04_1636,TMTAB,2021.2.3,143.30938630824878,
7,['1'],TMTstop-A_1_2linestimulus4.png,TMTstop-A_1_2greenlinestimulus4.png,TMTstop-A_1_2redlinestimulus4.png,10,,,,,,,,,0,6,6,6,,,,,,,,,36.54286210006103,None,['1'],1,[1.0289948000572622],36.54286210006103,None,,,,,,001,2021_Nov_04_1636,TMTAB,2021.2.3,143.30938630824878,
8,['2'],TMTstop-A_1_2linestimulus5.png,TMTstop-A_1_2greenlinestimulus5.png,TMTstop-A_1_2redlinestimulus5.png,10,,,,,,,,,0,7,7,7,,,,,,,,,37.64699979999568,None,['2'],1,[2.6522508000489324],37.64699979999568,None,,,,,,001,2021_Nov_04_1636,TMTAB,2021.2.3,143.30938630824878,
9,['1'],TMTstop-A_1_2linestimulus6.png,TMTstop-A_1_2greenlinestimulus6.png,TMTstop-A_1_2redlinestimulus6.png,10,,,,,,,,,0,8,8,8,,,,,,,,,40.369161700014956,None,['1'],1,[0.7639940000372007],40.369161700014956,None,,,,,,001,2021_Nov_04_1636,TMTAB,2021.2.3,143.30938630824878,
10,['3'],TMTstop-A_1_2linestimulus7.png,TMTstop-A_1_2greenlinestimulus7.png,TMTstop-A_1_2redlinestimulus7.png,10,,,,,,,,,0,9,9,9,,,,,,,,,41.20239250001032,None,['3'],1,[1.3506847000680864],41.20239250001032,None,,,,,,001,2021_Nov_04_1636,TMTAB,2021.2.3,143.30938630824878,
11,['1'],TMTstop-A_1_2linestimulus8.png,TMTstop-A_1_2greenlinestimulus8.png,TMTstop-A_1_2redlinestimulus8.png,10,,,,,,,,,0,10,10,10,,,,,,,,,42.633446200052276,None,['1'],1,[0.7185126999393106],42.633446200052276,None,,,,,,001,2021_Nov_04_1636,TMTAB,2021.2.3,143.30938630824878,
12,['3'],TMTstop-A_1_2linestimulus9.png,TMTstop-A_1_2greenlinestimulus9.png,TMTstop-A_1_2redlinestimulus9.png,10,,,,,,,,,0,11,11,11,,,,,,,,,43.424731499981135,None,['3'],1,[1.0225932000903413],43.424731499981135,None,,,,,,001,2021_Nov_04_1636,TMTAB,2021.2.3,143.30938630824878,
13,['1'],TMTstop-A_1_2linestimulus10.png,TMTstop-A_1_2greenlinestimulus10.png,TMTstop-A_1_2redlinestimulus10.png,1,,,,,,,,,0,12,12,12,,,,,,,,,44.52888530003838,None,['1'],1,[0.9655016999458894],44.52888530003838,None,,,,,,001,2021_Nov_04_1636,TMTAB,2021.2.3,143.30938630824878,
14,['2'],TMTstop-A_1_2linestimulus11.png,TMTstop-A_1_2greenlinestimulus11.png,TMTstop-A_1_2redlinestimulus11.png,None,,,,,,,,,0,13,13,13,,,,,,,,,45.57736270001624,None,['2'],1,[0.5077584000537172],45.57736270001624,None,,,,,,001,2021_Nov_04_1636,TMTAB,2021.2.3,143.30938630824878,
15,['3'],TMTstop-A_1_2linestimulus12.png,TMTstop-A_1_2greenlinestimulus12.png,TMTstop-A_1_2redlinestimulus12.png,None,,,,,,,,,0,14,14,14,,,,,,,,,46.16061120002996,None,['3'],1,[0.5900197000009939],46.16061120002996,None,,,,,,001,2021_Nov_04_1636,TMTAB,2021.2.3,143.30938630824878,
16,['1'],TMTstop-A_1_2linestimulus13.png,TMTstop-A_1_2greenlinestimulus13.png,TMTstop-A_1_2redlinestimulus13.png,None,,,,,,,,,0,15,15,15,,,,,,,,,46.82712779997382,None,['1'],1,[0.8197494000196457],46.82712779997382,None,,,,,,001,2021_Nov_04_1636,TMTAB,2021.2.3,143.30938630824878,
