NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,Condition_rows,Correct,Block,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,Condition_trials.thisRepN,Condition_trials.thisTrialN,Condition_trials.thisN,Condition_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruct.started,Instruct.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
6,['3'],TMTstop-A_1_2linestimulus3.png,TMTstop-A_1_2greenlinestimulus3.png,TMTstop-A_1_2redlinestimulus3.png,,26:52,3,2,,,,,,,,,0,1,1,1,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,28.75802189996466,None,['3'],1,[-0.028563400031998754],28.75802189996466,None,,001,2022_Jan_12_1715,TMTAstop-A,2021.2.3,142.5504561098374,
7,['2'],TMTstop-A_1_2linestimulus4.png,TMTstop-A_1_2greenlinestimulus4.png,TMTstop-A_1_2redlinestimulus4.png,,26:52,2,2,,,,,,,,,0,1,1,1,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,28.834563199896365,None,"['1', '2']",1,"[0.025147800100967288, 0.1098923000972718]",28.834563199896365,None,,001,2022_Jan_12_1715,TMTAstop-A,2021.2.3,142.5504561098374,
8,['1'],TMTstop-A_1_2linestimulus5.png,TMTstop-A_1_2greenlinestimulus5.png,TMTstop-A_1_2redlinestimulus5.png,,26:52,1,2,,,,,,,,,0,1,1,1,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,29.01487990003079,None,"['3', '1']",1,"[0.02682109992019832, 0.15257970010861754]",29.01487990003079,None,,001,2022_Jan_12_1715,TMTAstop-A,2021.2.3,142.5504561098374,
9,['2'],TMTstop-A_1_2linestimulus6.png,TMTstop-A_1_2greenlinestimulus6.png,TMTstop-A_1_2redlinestimulus6.png,,26:52,2,2,,,,,,,,,0,1,1,1,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,29.27184919989668,None,['2'],1,[-0.0403701001778245],29.27184919989668,None,,001,2022_Jan_12_1715,TMTAstop-A,2021.2.3,142.5504561098374,
10,['3'],TMTstop-A_1_2linestimulus7.png,TMTstop-A_1_2greenlinestimulus7.png,TMTstop-A_1_2redlinestimulus7.png,,26:52,3,2,,,,,,,,,0,1,1,1,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,29.34128459985368,None,['3'],1,[0.02035750006325543],29.34128459985368,None,,001,2022_Jan_12_1715,TMTAstop-A,2021.2.3,142.5504561098374,
11,['1'],TMTstop-A_1_2linestimulus8.png,TMTstop-A_1_2greenlinestimulus8.png,TMTstop-A_1_2redlinestimulus8.png,,26:52,1,2,,,,,,,,,0,1,1,1,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,29.438555399887264,None,['1'],1,[0.07386020012199879],29.438555399887264,None,,001,2022_Jan_12_1715,TMTAstop-A,2021.2.3,142.5504561098374,
12,['2'],TMTstop-A_1_2linestimulus9.png,TMTstop-A_1_2greenlinestimulus9.png,TMTstop-A_1_2redlinestimulus9.png,,26:52,2,2,,,,,,,,,0,1,1,1,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,29.59132370003499,None,['2'],1,[-0.024778100196272135],29.59132370003499,None,,001,2022_Jan_12_1715,TMTAstop-A,2021.2.3,142.5504561098374,
13,['3'],TMTstop-A_1_2linestimulus10.png,TMTstop-A_1_2greenlinestimulus10.png,TMTstop-A_1_2redlinestimulus10.png,,26:52,3,2,,,,,,,,,0,1,1,1,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,29.667734999908134,None,['3'],1,[0.01752679981291294],29.667734999908134,None,,001,2022_Jan_12_1715,TMTAstop-A,2021.2.3,142.5504561098374,
14,['1'],TMTstop-A_1_2linestimulus11.png,TMTstop-A_1_2greenlinestimulus11.png,TMTstop-A_1_2redlinestimulus11.png,,26:52,1,2,,,,,,,,,0,1,1,1,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,29.765254499856383,None,['1'],1,[0.6340922000817955],29.765254499856383,None,,001,2022_Jan_12_1715,TMTAstop-A,2021.2.3,142.5504561098374,
15,['3'],TMTstop-A_1_2linestimulus12.png,TMTstop-A_1_2greenlinestimulus12.png,TMTstop-A_1_2redlinestimulus12.png,,26:52,3,2,,,,,,,,,0,1,1,1,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,30.47315129986964,None,['3'],1,[0.6771623999811709],30.47315129986964,None,,001,2022_Jan_12_1715,TMTAstop-A,2021.2.3,142.5504561098374,
