NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,Correct,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,Instruct.started,Instruct.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
2,['2'],TMTstop-A_1_2.png,TMTstop-A_1_2firstgreen.png,TMTstop-A_1_2firstred.png,10,2,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.29121190006845,None,"['1', '2']",1,"[0.476905400166288, 0.7537715001963079]",68.29121190006845,None,,001,2022_Jan_12_1148,TMTAstop-A,2021.2.3,143.42490022693565,
3,['3'],TMTstop-A_1_2linestimulus0.png,TMTstop-A_1_2greenlinestimulus0.png,TMTstop-A_1_2redlinestimulus0.png,10,3,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.1587475000415,None,['3'],1,[0.1804697997868061],69.1587475000415,None,,001,2022_Jan_12_1148,TMTAstop-A,2021.2.3,143.42490022693565,
4,['1'],TMTstop-A_1_2linestimulus1.png,TMTstop-A_1_2greenlinestimulus1.png,TMTstop-A_1_2redlinestimulus1.png,10,1,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.41672670003027,None,['1'],1,[0.22843399993143976],69.41672670003027,None,,001,2022_Jan_12_1148,TMTAstop-A,2021.2.3,143.42490022693565,
5,['2'],TMTstop-A_1_2linestimulus2.png,TMTstop-A_1_2greenlinestimulus2.png,TMTstop-A_1_2redlinestimulus2.png,10,2,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.72848110017367,None,['2'],1,[0.05758140003308654],69.72848110017367,None,,001,2022_Jan_12_1148,TMTAstop-A,2021.2.3,143.42490022693565,
6,['3'],TMTstop-A_1_2linestimulus3.png,TMTstop-A_1_2greenlinestimulus3.png,TMTstop-A_1_2redlinestimulus3.png,10,3,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.88140670000575,None,['3'],1,[0.11568399984389544],69.88140670000575,None,,001,2022_Jan_12_1148,TMTAstop-A,2021.2.3,143.42490022693565,
7,['2'],TMTstop-A_1_2linestimulus4.png,TMTstop-A_1_2greenlinestimulus4.png,TMTstop-A_1_2redlinestimulus4.png,10,2,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.08344099996611,None,['2'],1,[0.2109098001383245],70.08344099996611,None,,001,2022_Jan_12_1148,TMTAstop-A,2021.2.3,143.42490022693565,
8,['1'],TMTstop-A_1_2linestimulus5.png,TMTstop-A_1_2greenlinestimulus5.png,TMTstop-A_1_2redlinestimulus5.png,10,1,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.38834309997037,None,"['3', '1']",1,"[0.15675200009718537, 0.37659050012007356]",70.38834309997037,None,,001,2022_Jan_12_1148,TMTAstop-A,2021.2.3,143.42490022693565,
9,['2'],TMTstop-A_1_2linestimulus6.png,TMTstop-A_1_2greenlinestimulus6.png,TMTstop-A_1_2redlinestimulus6.png,10,2,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.85347940004431,None,['2'],1,[0.026472799945622683],70.85347940004431,None,,001,2022_Jan_12_1148,TMTAstop-A,2021.2.3,143.42490022693565,
10,['3'],TMTstop-A_1_2linestimulus7.png,TMTstop-A_1_2greenlinestimulus7.png,TMTstop-A_1_2redlinestimulus7.png,10,3,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.02603300008923,None,['3'],1,[0.07462679990567267],71.02603300008923,None,,001,2022_Jan_12_1148,TMTAstop-A,2021.2.3,143.42490022693565,
11,['1'],TMTstop-A_1_2linestimulus8.png,TMTstop-A_1_2greenlinestimulus8.png,TMTstop-A_1_2redlinestimulus8.png,10,1,,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.18714329996146,None,['1'],1,[0.18983839987777174],71.18714329996146,None,,001,2022_Jan_12_1148,TMTAstop-A,2021.2.3,143.42490022693565,
12,['2'],TMTstop-A_1_2linestimulus9.png,TMTstop-A_1_2greenlinestimulus9.png,TMTstop-A_1_2redlinestimulus9.png,10,2,,,,,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.46434239996597,None,['2'],1,[0.005331299966201186],71.46434239996597,None,,001,2022_Jan_12_1148,TMTAstop-A,2021.2.3,143.42490022693565,
