NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,Correct,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,Instruct.started,Instruct.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.corr,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
None,None,TMT-A_1_1linestimulus23.png,TMT-A_1_1greenlinestimulus23.png,TMT-A_1_1redlinestimulus23.png,None,None,,,,,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.30273640016094,None,None,1,,47.30273640016094,None,,,,001,2022_Jan_11_0116,TMTAB,2021.2.3,59.88210416368752,
1,['1'],TMT-A_1_2.png,TMT-A_1_2.png,TMT-A_1_2.png,10,1,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,48.3012594000902,None,,,,,,,,,,,,,,51.37117880000733,None,['1'],1,[1.7174374999012798],51.37117880000733,None,,,,001,2022_Jan_11_0116,TMTAB,2021.2.3,59.88210416368752,
2,['3'],TMT-A_1_2.png,TMT-A_1_2firstgreen.png,TMT-A_1_2firstred.png,10,3,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.17197989998385,None,['3'],1,[1.3114767000079155],53.17197989998385,None,,,,001,2022_Jan_11_0116,TMTAB,2021.2.3,59.88210416368752,
3,['1'],TMT-A_1_2linestimulus0.png,TMT-A_1_2greenlinestimulus0.png,TMT-A_1_2redlinestimulus0.png,10,1,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.58964850008488,None,['1'],1,[0.9964543001260608],54.58964850008488,None,,,,001,2022_Jan_11_0116,TMTAB,2021.2.3,59.88210416368752,
4,['2'],TMT-A_1_2linestimulus1.png,TMT-A_1_2greenlinestimulus1.png,TMT-A_1_2redlinestimulus1.png,10,2,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.67293900018558,None,['2'],1,[0.686097800033167],55.67293900018558,None,,,,001,2022_Jan_11_0116,TMTAB,2021.2.3,59.88210416368752,
5,['3'],TMT-A_1_2linestimulus2.png,TMT-A_1_2greenlinestimulus2.png,TMT-A_1_2redlinestimulus2.png,10,3,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.45705100009218,None,['3'],1,[1.8120661000721157],56.45705100009218,None,,,,001,2022_Jan_11_0116,TMTAB,2021.2.3,59.88210416368752,
6,['2'],TMT-A_1_2linestimulus3.png,TMT-A_1_2greenlinestimulus3.png,TMT-A_1_2redlinestimulus3.png,10,2,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.35785590019077,None,['2'],1,[0.435185199836269],58.35785590019077,None,,,,001,2022_Jan_11_0116,TMTAB,2021.2.3,59.88210416368752,
7,['3'],TMT-A_1_2linestimulus4.png,TMT-A_1_2greenlinestimulus4.png,TMT-A_1_2redlinestimulus4.png,10,3,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.89135180017911,None,['3'],1,[1.065667900023982],58.89135180017911,None,,,,001,2022_Jan_11_0116,TMTAB,2021.2.3,59.88210416368752,
8,['2'],TMT-A_1_2linestimulus5.png,TMT-A_1_2greenlinestimulus5.png,TMT-A_1_2redlinestimulus5.png,10,2,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.04196680011228,None,['2'],1,[0.9974561000708491],60.04196680011228,None,,,,001,2022_Jan_11_0116,TMTAB,2021.2.3,59.88210416368752,
9,['1'],TMT-A_1_2linestimulus6.png,TMT-A_1_2greenlinestimulus6.png,TMT-A_1_2redlinestimulus6.png,10,1,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.125664100050926,None,['1'],1,[0.8249735999852419],61.125664100050926,None,,,,001,2022_Jan_11_0116,TMTAB,2021.2.3,59.88210416368752,
10,['2'],TMT-A_1_2linestimulus7.png,TMT-A_1_2greenlinestimulus7.png,TMT-A_1_2redlinestimulus7.png,10,2,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.04280659998767,None,['2'],1,[0.5962435000110418],62.04280659998767,None,,,,001,2022_Jan_11_0116,TMTAB,2021.2.3,59.88210416368752,
