Block_file,Condition_rows,NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,Correct,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,Blocks_loop.thisRepN,Blocks_loop.thisTrialN,Blocks_loop.thisN,Blocks_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
TMTstop-A_1_3.xlsx,52:78,12,['2'],TMTstop-A_1_3linestimulus9.png,TMTstop-A_1_3greenlinestimulus9.png,TMTstop-A_1_3redlinestimulus9.png,10,2,,,,,,,,,0,2,2,2,0,11,11,11,2,1,46.75990150007419,None,"['1', '2']",1,"[0.04625979997217655, 0.17226819996722043]",46.75990150007419,None,,001,2022_Feb_02_1433,TMTAstop-A,2021.2.3,143.2779704596672,
TMTstop-A_1_3.xlsx,52:78,13,['1'],TMTstop-A_1_3linestimulus10.png,TMTstop-A_1_3greenlinestimulus10.png,TMTstop-A_1_3redlinestimulus10.png,1,1,,,,,,,,,0,2,2,2,0,12,12,12,2,1,47.0031633998733,None,"['3', '1']",1,"[-0.004901600070297718, 0.1808937001042068]",47.0031633998733,None,,001,2022_Feb_02_1433,TMTAstop-A,2021.2.3,143.2779704596672,
TMTstop-A_1_3.xlsx,52:78,14,['2'],TMTstop-A_1_3linestimulus11.png,TMTstop-A_1_3greenlinestimulus11.png,TMTstop-A_1_3redlinestimulus11.png,None,2,,,,,,,,,0,2,2,2,0,13,13,13,1,1,47.281807200051844,None,['2'],1,[-0.028624099912121892],47.281807200051844,None,,001,2022_Feb_02_1433,TMTAstop-A,2021.2.3,143.2779704596672,
TMTstop-A_1_3.xlsx,52:78,15,['1'],TMTstop-A_1_3linestimulus12.png,TMTstop-A_1_3greenlinestimulus12.png,TMTstop-A_1_3redlinestimulus12.png,None,1,,,,,,,,,0,2,2,2,0,14,14,14,2,1,47.35704479995184,None,"['3', '1']",1,"[0.014853199943900108, 0.174923500046134]",47.35704479995184,None,,001,2022_Feb_02_1433,TMTAstop-A,2021.2.3,143.2779704596672,
TMTstop-A_1_3.xlsx,52:78,16,['2'],TMTstop-A_1_3linestimulus13.png,TMTstop-A_1_3greenlinestimulus13.png,TMTstop-A_1_3redlinestimulus13.png,None,2,,,,,,,,,0,2,2,2,0,15,15,15,1,1,47.6226244000718,None,['2'],1,[-0.008399999933317304],47.6226244000718,None,,001,2022_Feb_02_1433,TMTAstop-A,2021.2.3,143.2779704596672,
TMTstop-A_1_3.xlsx,52:78,17,['3'],TMTstop-A_1_3linestimulus14.png,TMTstop-A_1_3greenlinestimulus14.png,TMTstop-A_1_3redlinestimulus14.png,None,3,,,,,,,,,0,2,2,2,0,16,16,16,1,1,47.6979223000817,None,['3'],1,[0.030334699898958206],47.6979223000817,None,,001,2022_Feb_02_1433,TMTAstop-A,2021.2.3,143.2779704596672,
TMTstop-A_1_3.xlsx,52:78,18,['2'],TMTstop-A_1_3linestimulus15.png,TMTstop-A_1_3greenlinestimulus15.png,TMTstop-A_1_3redlinestimulus15.png,None,2,,,,,,,,,0,2,2,2,0,17,17,17,2,1,47.80886680004187,None,"['1', '2']",1,"[0.058140400098636746, 0.134234800003469]",47.80886680004187,None,,001,2022_Feb_02_1433,TMTAstop-A,2021.2.3,143.2779704596672,
TMTstop-A_1_3.xlsx,52:78,19,['1'],TMTstop-A_1_3linestimulus16.png,TMTstop-A_1_3greenlinestimulus16.png,TMTstop-A_1_3redlinestimulus16.png,None,1,,,,,,,,,0,2,2,2,0,18,18,18,2,1,48.02361929998733,None,"['3', '1']",1,"[0.02672680001705885, 0.15305900014936924]",48.02361929998733,None,,001,2022_Feb_02_1433,TMTAstop-A,2021.2.3,143.2779704596672,
TMTstop-A_1_3.xlsx,52:78,20,['2'],TMTstop-A_1_3linestimulus17.png,TMTstop-A_1_3greenlinestimulus17.png,TMTstop-A_1_3redlinestimulus17.png,None,2,,,,,,,,,0,2,2,2,0,19,19,19,1,1,48.2462142999284,None,['2'],1,[0.04190440010279417],48.2462142999284,None,,001,2022_Feb_02_1433,TMTAstop-A,2021.2.3,143.2779704596672,
TMTstop-A_1_3.xlsx,52:78,21,['3'],TMTstop-A_1_3linestimulus18.png,TMTstop-A_1_3greenlinestimulus18.png,TMTstop-A_1_3redlinestimulus18.png,None,3,,,,,,,,,0,2,2,2,0,20,20,20,1,1,48.36376059986651,None,['3'],1,[0.009236699901521206],48.36376059986651,None,,001,2022_Feb_02_1433,TMTAstop-A,2021.2.3,143.2779704596672,
TMTstop-A_1_3.xlsx,52:78,22,['1'],TMTstop-A_1_3linestimulus19.png,TMTstop-A_1_3greenlinestimulus19.png,TMTstop-A_1_3redlinestimulus19.png,None,1,,,,,,,,,0,2,2,2,0,21,21,21,1,1,48.44761150004342,None,['1'],1,[0.07758920011110604],48.44761150004342,None,,001,2022_Feb_02_1433,TMTAstop-A,2021.2.3,143.2779704596672,
TMTstop-A_1_3.xlsx,52:78,23,['3'],TMTstop-A_1_3linestimulus20.png,TMTstop-A_1_3greenlinestimulus20.png,TMTstop-A_1_3redlinestimulus20.png,None,3,,,,,,,,,0,2,2,2,0,22,22,22,2,1,48.607164199929684,None,"['2', '3']",1,"[0.0097936000674963, 0.11505579994991422]",48.607164199929684,None,,001,2022_Feb_02_1433,TMTAstop-A,2021.2.3,143.2779704596672,
TMTstop-A_1_3.xlsx,52:78,24,['1'],TMTstop-A_1_3linestimulus21.png,TMTstop-A_1_3greenlinestimulus21.png,TMTstop-A_1_3redlinestimulus21.png,None,1,,,,,,,,,0,2,2,2,0,23,23,23,1,1,48.82395950006321,None,['1'],1,[0.044726100051775575],48.82395950006321,None,,001,2022_Feb_02_1433,TMTAstop-A,2021.2.3,143.2779704596672,
TMTstop-A_1_3.xlsx,52:78,25,['3'],TMTstop-A_1_3linestimulus22.png,TMTstop-A_1_3greenlinestimulus22.png,TMTstop-A_1_3redlinestimulus22.png,None,3,,,,,,,,,0,2,2,2,0,24,24,24,2,1,48.94719969993457,None,"['2', '3']",1,"[0.017230800120159984, 0.11702560004778206]",48.94719969993457,None,,001,2022_Feb_02_1433,TMTAstop-A,2021.2.3,143.2779704596672,
TMTstop-A_1_3.xlsx,52:78,None,None,TMTstop-A_1_3linestimulus23.png,TMTstop-A_1_3greenlinestimulus23.png,TMTstop-A_1_3redlinestimulus23.png,None,None,,,,,,,,,0,2,2,2,0,25,25,25,3,1,49.16497000004165,None,"['1', '2', '3']",0,"[0.04034580010920763, 0.12611020007170737, 0.23730859998613596]",49.16497000004165,None,,001,2022_Feb_02_1433,TMTAstop-A,2021.2.3,143.2779704596672,
TMTstop-A_1_3.xlsx,52:78,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,001,2022_Feb_02_1433,TMTAstop-A,2021.2.3,143.2779704596672,
,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,
