NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,DurationTrial,trials_TMTControl.thisRepN,trials_TMTControl.thisTrialN,trials_TMTControl.thisN,trials_TMTControl.thisIndex,trials_TMTA.thisRepN,trials_TMTA.thisTrialN,trials_TMTA.thisN,trials_TMTA.thisIndex,trials_TMTB.thisRepN,trials_TMTB.thisTrialN,trials_TMTB.thisN,trials_TMTB.thisIndex,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
2,['2'],2,TMTstop-B_1_plinestimulus0.png,TMTstop-B_1_pgreenlinestimulus0.png,TMTstop-B_1_predlinestimulus0.png,10,,,,,,,,,0,2,2,2,1,1,94.82936069999414,None,['2'],1,[0.08524659999238793],94.82936069999414,None,,001,2022_Mar_30_1509,TMT_fmri,2021.2.3,143.6459644001473,
B,['3'],3,TMTstop-B_1_plinestimulus1.png,TMTstop-B_1_pgreenlinestimulus1.png,TMTstop-B_1_predlinestimulus1.png,10,,,,,,,,,0,3,3,3,1,1,94.99605220000376,None,['3'],1,[0.04470410000067204],94.99605220000376,None,,001,2022_Mar_30_1509,TMT_fmri,2021.2.3,143.6459644001473,
3,['1'],1,TMTstop-B_1_plinestimulus2.png,TMTstop-B_1_pgreenlinestimulus2.png,TMTstop-B_1_predlinestimulus2.png,10,,,,,,,,,0,4,4,4,1,1,95.1217750999931,None,['1'],1,[0.11783620000642259],95.1217750999931,None,,001,2022_Mar_30_1509,TMT_fmri,2021.2.3,143.6459644001473,
C,['3'],3,TMTstop-B_1_plinestimulus3.png,TMTstop-B_1_pgreenlinestimulus3.png,TMTstop-B_1_predlinestimulus3.png,10,,,,,,,,,0,5,5,5,2,0,95.32244590000482,None,"['2', '3']",1,"[-0.011831900003016926, 0.09256289999757428]",95.32244590000482,None,,001,2022_Mar_30_1509,TMT_fmri,2021.2.3,143.6459644001473,
4,['1'],1,TMTstop-B_1_plinestimulus4.png,TMTstop-B_1_pgreenlinestimulus4.png,TMTstop-B_1_predlinestimulus4.png,10,,,,,,,,,0,6,6,6,1,1,95.52385810000123,None,['1'],1,[0.03588000001036562],95.52385810000123,None,,001,2022_Mar_30_1509,TMT_fmri,2021.2.3,143.6459644001473,
D,['3'],3,TMTstop-B_1_plinestimulus5.png,TMTstop-B_1_pgreenlinestimulus5.png,TMTstop-B_1_predlinestimulus5.png,10,,,,,,,,,0,7,7,7,2,0,95.6349293999956,None,"['2', '3']",1,"[0.0018477999983588234, 0.09665829999721609]",95.6349293999956,None,,001,2022_Mar_30_1509,TMT_fmri,2021.2.3,143.6459644001473,
5,['2'],2,TMTstop-B_1_plinestimulus6.png,TMTstop-B_1_pgreenlinestimulus6.png,TMTstop-B_1_predlinestimulus6.png,10,,,,,,,,,0,8,8,8,2,0,95.80852809999487,None,"['1', '2']",1,"[0.02155499999935273, 0.12971929999184795]",95.80852809999487,None,,001,2022_Mar_30_1509,TMT_fmri,2021.2.3,143.6459644001473,
E,['1'],1,TMTstop-B_1_plinestimulus7.png,TMTstop-B_1_pgreenlinestimulus7.png,TMTstop-B_1_predlinestimulus7.png,10,,,,,,,,,0,9,9,9,2,0,96.03783659999317,None,"['3', '1']",1,"[-0.010885800002142787, 0.10482380000757985]",96.03783659999317,None,,001,2022_Mar_30_1509,TMT_fmri,2021.2.3,143.6459644001473,
6,['3'],3,TMTstop-B_1_plinestimulus8.png,TMTstop-B_1_pgreenlinestimulus8.png,TMTstop-B_1_predlinestimulus8.png,10,,,,,,,,,0,10,10,10,2,0,96.2392317000049,None,"['2', '3']",1,"[-0.011182799993548542, 0.08157530000607949]",96.2392317000049,None,,001,2022_Mar_30_1509,TMT_fmri,2021.2.3,143.6459644001473,
F,['1'],1,TMTstop-B_1_plinestimulus9.png,TMTstop-B_1_pgreenlinestimulus9.png,TMTstop-B_1_predlinestimulus9.png,10,,,,,,,,,0,11,11,11,1,1,96.39883079999709,None,['1'],1,[0.022495400000480004],96.39883079999709,None,,001,2022_Mar_30_1509,TMT_fmri,2021.2.3,143.6459644001473,
,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
