Block_file,Condition_rows,NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,Correct,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,Blocks_loop.thisRepN,Blocks_loop.thisTrialN,Blocks_loop.thisN,Blocks_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,key_resp_5.keys,key_resp_5.rt,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
TMTstop-A_1_4.xlsx,78:104,22,['3'],TMTstop-A_1_4linestimulus19.png,TMTstop-A_1_4greenlinestimulus19.png,TMTstop-A_1_4redlinestimulus19.png,None,,,,,,,,,,0,3,3,3,0,21,21,21,,,,,,,,,,,,,2,1,59.99489729991183,None,"['2', '3']",1,"[-0.034156000008806586, 0.08835149998776615]",59.99489729991183,None,,001,2022_Feb_02_1215,TMTAstop-A,2021.2.3,149.4125100940747,
TMTstop-A_1_4.xlsx,78:104,23,['2'],TMTstop-A_1_4linestimulus20.png,TMTstop-A_1_4greenlinestimulus20.png,TMTstop-A_1_4redlinestimulus20.png,None,,,,,,,,,,0,3,3,3,0,22,22,22,,,,,,,,,,,,,2,1,60.19798250007443,None,"['1', '2']",1,"[0.04173359996639192, 0.12410750007256866]",60.19798250007443,None,,001,2022_Feb_02_1215,TMTAstop-A,2021.2.3,149.4125100940747,
TMTstop-A_1_4.xlsx,78:104,24,['3'],TMTstop-A_1_4linestimulus21.png,TMTstop-A_1_4greenlinestimulus21.png,TMTstop-A_1_4redlinestimulus21.png,None,,,,,,,,,,0,3,3,3,0,23,23,23,,,,,,,,,,,,,1,1,60.406400999985635,None,['3'],1,[0.01948480005376041],60.406400999985635,None,,001,2022_Feb_02_1215,TMTAstop-A,2021.2.3,149.4125100940747,
TMTstop-A_1_4.xlsx,78:104,25,['2'],TMTstop-A_1_4linestimulus22.png,TMTstop-A_1_4greenlinestimulus22.png,TMTstop-A_1_4redlinestimulus22.png,None,,,,,,,,,,0,3,3,3,0,24,24,24,,,,,,,,,,,,,2,1,60.512028799857944,None,"['1', '2']",1,"[0.052811000030487776, 0.11313890013843775]",60.512028799857944,None,,001,2022_Feb_02_1215,TMTAstop-A,2021.2.3,149.4125100940747,
TMTstop-A_1_4.xlsx,78:104,None,None,TMTstop-A_1_4linestimulus23.png,TMTstop-A_1_4greenlinestimulus23.png,TMTstop-A_1_4redlinestimulus23.png,None,,,,,,,,,,0,3,3,3,0,25,25,25,,,,,,,,,,,,,1,1,60.72654389985837,None,['3'],0,[0.03367319982498884],60.72654389985837,None,,001,2022_Feb_02_1215,TMTAstop-A,2021.2.3,149.4125100940747,
TMTstop-A_1_5.xlsx,104:130,1,['2'],TMTstop-A_1_5.png,TMTstop-A_1_5.png,TMTstop-A_1_5.png,10,,,,,,,,,,0,4,4,4,0,0,0,0,,,,,,,,,,,,,2,1,64.82355289999396,None,"['1', '2']",1,"[0.28031629999168217, 0.40596799994818866]",64.82355289999396,None,,001,2022_Feb_02_1215,TMTAstop-A,2021.2.3,149.4125100940747,
TMTstop-A_1_5.xlsx,104:130,2,['1'],TMTstop-A_1_5.png,TMTstop-A_1_5firstgreen.png,TMTstop-A_1_5firstred.png,10,,,,,,,,,,0,4,4,4,0,1,1,1,,,,,,,,,,,,,2,1,65.33948450000025,None,"['3', '1']",1,"[-0.058475999860093, 0.09091829997487366]",65.33948450000025,None,,001,2022_Feb_02_1215,TMTAstop-A,2021.2.3,149.4125100940747,
TMTstop-A_1_5.xlsx,104:130,3,['3'],TMTstop-A_1_5linestimulus0.png,TMTstop-A_1_5greenlinestimulus0.png,TMTstop-A_1_5redlinestimulus0.png,10,,,,,,,,,,0,4,4,4,0,2,2,2,,,,,,,,,,,,,2,1,65.52526480006054,None,"['2', '3']",1,"[-0.052260300144553185, 0.061537700006738305]",65.52526480006054,None,,001,2022_Feb_02_1215,TMTAstop-A,2021.2.3,149.4125100940747,
TMTstop-A_1_5.xlsx,104:130,4,['2'],TMTstop-A_1_5linestimulus1.png,TMTstop-A_1_5greenlinestimulus1.png,TMTstop-A_1_5redlinestimulus1.png,10,,,,,,,,,,0,4,4,4,0,3,3,3,,,,,,,,,,,,,2,1,65.6843993999064,None,"['1', '2']",1,"[0.0457417001016438, 0.10196970007382333]",65.6843993999064,None,,001,2022_Feb_02_1215,TMTAstop-A,2021.2.3,149.4125100940747,
TMTstop-A_1_5.xlsx,104:130,5,['3'],TMTstop-A_1_5linestimulus2.png,TMTstop-A_1_5greenlinestimulus2.png,TMTstop-A_1_5redlinestimulus2.png,10,,,,,,,,,,0,4,4,4,0,4,4,4,,,,,,,,,,,,,1,1,65.90737859997898,None,['3'],1,[-0.013551000040024519],65.90737859997898,None,,001,2022_Feb_02_1215,TMTAstop-A,2021.2.3,149.4125100940747,
