NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,DurationTrial,trials_TMTControl.thisRepN,trials_TMTControl.thisTrialN,trials_TMTControl.thisN,trials_TMTControl.thisIndex,trials_TMTA.thisRepN,trials_TMTA.thisTrialN,trials_TMTA.thisN,trials_TMTA.thisIndex,trials_TMTB.thisRepN,trials_TMTB.thisTrialN,trials_TMTB.thisN,trials_TMTB.thisIndex,Stim.started,key_resp_2.started,Attempts,First_attempt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
D,['3'],3,TMTstop-B_1_plinestimulus5.png,TMTstop-B_1_pgreenlinestimulus5.png,TMTstop-B_1_predlinestimulus5.png,10,,,,,,,,,0,7,7,7,74.24591440000222,74.24591440000222,1,1,['3'],1,[0.6885347999923397],,001,2023-02-28_11h35.40.807,TMT_practice,2022.2.5,60.1312786060439,
5,['2'],2,TMTstop-B_1_plinestimulus6.png,TMTstop-B_1_pgreenlinestimulus6.png,TMTstop-B_1_predlinestimulus6.png,10,,,,,,,,,0,8,8,8,75.0193755000073,75.0193755000073,1,1,['2'],1,[1.9316926000028616],,001,2023-02-28_11h35.40.807,TMT_practice,2022.2.5,60.1312786060439,
E,['1'],1,TMTstop-B_1_plinestimulus7.png,TMTstop-B_1_pgreenlinestimulus7.png,TMTstop-B_1_predlinestimulus7.png,10,,,,,,,,,0,9,9,9,77.04605499999889,77.04605499999889,1,1,['1'],1,[0.48520369999459945],,001,2023-02-28_11h35.40.807,TMT_practice,2022.2.5,60.1312786060439,
6,['3'],3,TMTstop-B_1_plinestimulus8.png,TMTstop-B_1_pgreenlinestimulus8.png,TMTstop-B_1_predlinestimulus8.png,10,,,,,,,,,0,10,10,10,77.60851640001056,77.60851640001056,1,1,['3'],1,[0.5685242999898037],,001,2023-02-28_11h35.40.807,TMT_practice,2022.2.5,60.1312786060439,
F,['1'],1,TMTstop-B_1_plinestimulus9.png,TMTstop-B_1_pgreenlinestimulus9.png,TMTstop-B_1_predlinestimulus9.png,10,,,,,,,,,0,11,11,11,78.2625243000075,78.2625243000075,1,1,['1'],1,[0.40597880000132136],,001,2023-02-28_11h35.40.807,TMT_practice,2022.2.5,60.1312786060439,
7,['3'],3,TMTstop-B_1_plinestimulus10.png,TMTstop-B_1_pgreenlinestimulus10.png,TMTstop-B_1_predlinestimulus10.png,1,,,,,,,,,0,12,12,12,78.74436389999755,78.74436389999755,1,1,['3'],1,[0.48521400000026915],,001,2023-02-28_11h35.40.807,TMT_practice,2022.2.5,60.1312786060439,
G,['1'],1,TMTstop-B_1_plinestimulus11.png,TMTstop-B_1_pgreenlinestimulus11.png,TMTstop-B_1_predlinestimulus11.png,None,,,,,,,,,0,13,13,13,79.29773520000163,79.29773520000163,1,1,['1'],1,[0.3654311999998754],,001,2023-02-28_11h35.40.807,TMT_practice,2022.2.5,60.1312786060439,
8,['2'],2,TMTstop-B_1_plinestimulus12.png,TMTstop-B_1_pgreenlinestimulus12.png,TMTstop-B_1_predlinestimulus12.png,None,,,,,,,,,0,14,14,14,79.73301090000314,79.73301090000314,1,1,['2'],1,[0.3480889000056777],,001,2023-02-28_11h35.40.807,TMT_practice,2022.2.5,60.1312786060439,
H,['3'],3,TMTstop-B_1_plinestimulus13.png,TMTstop-B_1_pgreenlinestimulus13.png,TMTstop-B_1_predlinestimulus13.png,None,,,,,,,,,0,15,15,15,80.16303630000039,80.16303630000039,1,1,['3'],1,[0.29819709999719635],,001,2023-02-28_11h35.40.807,TMT_practice,2022.2.5,60.1312786060439,
9,['2'],2,TMTstop-B_1_plinestimulus14.png,TMTstop-B_1_pgreenlinestimulus14.png,TMTstop-B_1_predlinestimulus14.png,None,,,,,,,,,0,16,16,16,80.5359552000009,80.5359552000009,1,1,['2'],1,[0.4506663999927696],,001,2023-02-28_11h35.40.807,TMT_practice,2022.2.5,60.1312786060439,
I,['3'],3,TMTstop-B_1_plinestimulus15.png,TMTstop-B_1_pgreenlinestimulus15.png,TMTstop-B_1_predlinestimulus15.png,None,,,,,,,,,0,17,17,17,81.06510350000462,81.06510350000462,1,1,['3'],1,[0.7136403000040445],,001,2023-02-28_11h35.40.807,TMT_practice,2022.2.5,60.1312786060439,
10,['1'],1,TMTstop-B_1_plinestimulus16.png,TMTstop-B_1_pgreenlinestimulus16.png,TMTstop-B_1_predlinestimulus16.png,None,,,,,,,,,0,18,18,18,81.84678230001009,81.84678230001009,1,1,['1'],1,[0.7296572000050219],,001,2023-02-28_11h35.40.807,TMT_practice,2022.2.5,60.1312786060439,
J,['3'],3,TMTstop-B_1_plinestimulus17.png,TMTstop-B_1_pgreenlinestimulus17.png,TMTstop-B_1_predlinestimulus17.png,None,,,,,,,,,0,19,19,19,82.68518010000116,82.68518010000116,1,1,['3'],1,[0.43860369999310933],,001,2023-02-28_11h35.40.807,TMT_practice,2022.2.5,60.1312786060439,
11,['1'],1,TMTstop-B_1_plinestimulus18.png,TMTstop-B_1_pgreenlinestimulus18.png,TMTstop-B_1_predlinestimulus18.png,None,,,,,,,,,0,20,20,20,83.1925801000034,83.1925801000034,1,1,['1'],1,[1.322894400000223],,001,2023-02-28_11h35.40.807,TMT_practice,2022.2.5,60.1312786060439,
K,['3'],3,TMTstop-B_1_plinestimulus19.png,TMTstop-B_1_pgreenlinestimulus19.png,TMTstop-B_1_predlinestimulus19.png,None,,,,,,,,,0,21,21,21,84.59722280000278,84.59722280000278,1,1,['3'],1,[0.6197057000099448],,001,2023-02-28_11h35.40.807,TMT_practice,2022.2.5,60.1312786060439,
