NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,['1'],TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,10,4,0,4,0,0,0,0,0,,,,,,,,,,,33.970418199998676,None,1,1.0567542999924626,33.970418199998676,None,,,,,,,,001,2021_Nov_15_1814,TMTAB,2021.2.3,144.50783521245188,
2,['2'],TMTstop-A_1_practice.png,TMTstop-A_1_practicefirstgreen.png,TMTstop-A_1_practicefirstred.png,10,4,0,4,0,0,1,1,1,,,,,,,,,,,35.10210959998949,None,2,0.03727470000740141,35.10210959998949,None,,,,,,,,001,2021_Nov_15_1814,TMTAB,2021.2.3,144.50783521245188,
3,['3'],TMTstop-A_1_practicelinestimulus0.png,TMTstop-A_1_practicegreenlinestimulus0.png,TMTstop-A_1_practiceredlinestimulus0.png,10,4,0,4,0,0,2,2,2,,,,,,,,,,,35.213470099988626,None,3,0.015996400004951283,35.213470099988626,None,,,,,,,,001,2021_Nov_15_1814,TMTAB,2021.2.3,144.50783521245188,
4,['1'],TMTstop-A_1_practicelinestimulus1.png,TMTstop-A_1_practicegreenlinestimulus1.png,TMTstop-A_1_practiceredlinestimulus1.png,10,4,0,4,0,0,3,3,3,,,,,,,,,,,35.3105002999946,None,1,0.3639423999993596,35.3105002999946,None,,,,,,,,001,2021_Nov_15_1814,TMTAB,2021.2.3,144.50783521245188,
5,['2'],TMTstop-A_1_practicelinestimulus2.png,TMTstop-A_1_practicegreenlinestimulus2.png,TMTstop-A_1_practiceredlinestimulus2.png,10,4,0,4,0,0,4,4,4,,,,,,,,,,,35.755592899993644,None,2,0.011677999995299615,35.755592899993644,None,,,,,,,,001,2021_Nov_15_1814,TMTAB,2021.2.3,144.50783521245188,
6,['3'],TMTstop-A_1_practicelinestimulus3.png,TMTstop-A_1_practicegreenlinestimulus3.png,TMTstop-A_1_practiceredlinestimulus3.png,10,4,0,4,0,0,5,5,5,,,,,,,,,,,35.83152289999998,None,3,0.029646300012245774,35.83152289999998,None,,,,,,,,001,2021_Nov_15_1814,TMTAB,2021.2.3,144.50783521245188,
7,['1'],TMTstop-A_1_practicelinestimulus4.png,TMTstop-A_1_practicegreenlinestimulus4.png,TMTstop-A_1_practiceredlinestimulus4.png,10,4,0,4,0,0,6,6,6,,,,,,,,,,,35.943038099998375,None,1,0.0478844999888679,35.943038099998375,None,,,,,,,,001,2021_Nov_15_1814,TMTAB,2021.2.3,144.50783521245188,
8,['3'],TMTstop-A_1_practicelinestimulus5.png,TMTstop-A_1_practicegreenlinestimulus5.png,TMTstop-A_1_practiceredlinestimulus5.png,10,4,0,4,0,0,7,7,7,,,,,,,,,,,36.06793189999007,None,3,0.1142359000077704,36.06793189999007,None,,,,,,,,001,2021_Nov_15_1814,TMTAB,2021.2.3,144.50783521245188,
9,['2'],TMTstop-A_1_practicelinestimulus6.png,TMTstop-A_1_practicegreenlinestimulus6.png,TMTstop-A_1_practiceredlinestimulus6.png,10,4,0,4,0,0,8,8,8,,,,,,,,,,,36.27621209999779,None,2,0.12636289998772554,36.27621209999779,None,,,,,,,,001,2021_Nov_15_1814,TMTAB,2021.2.3,144.50783521245188,
10,['3'],TMTstop-A_1_practicelinestimulus7.png,TMTstop-A_1_practicegreenlinestimulus7.png,TMTstop-A_1_practiceredlinestimulus7.png,10,4,0,4,0,0,9,9,9,,,,,,,,,,,36.49094459999469,None,3,0.5590833000023849,36.49094459999469,None,,,,,,,,001,2021_Nov_15_1814,TMTAB,2021.2.3,144.50783521245188,
11,['1'],TMTstop-A_1_practicelinestimulus8.png,TMTstop-A_1_practicegreenlinestimulus8.png,TMTstop-A_1_practiceredlinestimulus8.png,10,4,0,4,0,0,10,10,10,,,,,,,,,,,37.136800699998275,None,1,0.08289429999422282,37.136800699998275,None,,,,,,,,001,2021_Nov_15_1814,TMTAB,2021.2.3,144.50783521245188,
12,['2'],TMTstop-A_1_practicelinestimulus9.png,TMTstop-A_1_practicegreenlinestimulus9.png,TMTstop-A_1_practiceredlinestimulus9.png,10,4,0,4,0,0,11,11,11,,,,,,,,,,,37.28333649999695,None,2,0.03185769999981858,37.28333649999695,None,,,,,,,,001,2021_Nov_15_1814,TMTAB,2021.2.3,144.50783521245188,
None,None,TMTstop-A_1_practicelinestimulus10.png,TMTstop-A_1_practicegreenlinestimulus10.png,TMTstop-A_1_practiceredlinestimulus10.png,None,4,0,4,0,0,12,12,12,,,,,,,,,,,37.39416599999822,None,3,0.03754389999085106,37.39416599999822,None,,,,,,,,001,2021_Nov_15_1814,TMTAB,2021.2.3,144.50783521245188,
,,,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,38.447915299999295,None,space,1.2723157000000356,38.447915299999295,None,,001,2021_Nov_15_1814,TMTAB,2021.2.3,144.50783521245188,
,,,,,,,,,,,,,,,,,,,,,,39.738356499990914,None,,,,,,,,,,,,,,,,,,,
